comentario,sentimiento
"El servicio al cliente fue excepcional, muy amable y rápido.",positivo
"El producto llegó defectuoso y la calidad es pésima.",negativo
"Me encantó la experiencia, superó mis expectativas.",positivo
"Demasiado caro para lo que ofrece, una decepción total.",negativo
"La comida estaba deliciosa, sin duda volveré pronto.",positivo
"Tuve que esperar mucho tiempo, el proceso es muy lento.",negativo
"Excelente atención, resolvieron mi problema rápidamente.",positivo
"No funciona como se describe, estoy muy insatisfecho.",negativo
"Recomiendo este lugar, tienen un ambiente muy agradable.",positivo
"Una estafa, perdí mi dinero y mi tiempo.",negativo
"Felicidades al equipo, hicieron un trabajo impecable.",positivo
"El paquete se perdió y nadie me da una solución.",negativo
"Increíble, nunca había visto algo tan bien diseñado.",positivo
"La interfaz es confusa y difícil de usar.",negativo
"Todo salió perfecto, estoy muy contento con la compra.",positivo
"El envío fue tardío y el artículo estaba dañado.",negativo
"Un personal muy profesional y atento, gran servicio.",positivo
"La publicidad es engañosa, no es lo que esperaba.",negativo
"Definitivamente lo mejor que he probado en mucho tiempo.",positivo
"Qué vergüenza de empresa, no cumplen con nada.",negativo
"Una experiencia maravillosa, se las recomiendo a todos.",positivo
"Me ignoraron por completo, pésima comunicación.",negativo
"Volvería a comprar sin dudarlo, muy buena calidad.",positivo
"Completamente decepcionado, no vale la pena el esfuerzo.",negativo
"La música en el local era excelente, muy buen gusto.",positivo
"El café estaba frío y el lugar no muy limpio.",negativo
"Muy eficiente y fácil de usar, me ahorró mucho tiempo.",positivo
"Un desastre total, nunca más confiaré en ellos.",negativo
"Cumplieron con todo lo prometido, un 10 de 10.",positivo
"No recibí lo que pedí, un error inaceptable.",negativo